,3DCNN_prof,ProQ3D,GraphQA,angleQA,ProQ2,DAVIS-EMAconsensus,BAKER-ROSETTASERVER,BAKER-experimental,P3De,ModFOLD8,tFold-IDT,VoroCNN-GDT,VoroCNN-GEMME,DeepPotential,Ornate,SBROD,GR#,GDT_TS,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MolPrb_clash,MolPrb_rotout,MolPrb_ramout,MolPrb_ramfv,target
T1033TS226_1,0.41689,0.429622,0.323,0.266,0.712,0.40701,0.4880,0.5512,0.3144335,0.3942182,0.820,0.487,0.510,0.7365092,0.51,0.205841,226s,32.75,100.0,169.0,-0.06,-0.06,24.0,4.0,10.57,14.8,15.482,100.0,0.0,0.0,0.0,47.0,36.828,2.06,0.69,2.3,55.0,3.3,1.22,0.4,45.5,0.52,0.45,0.48,1.15,0.5,70.0,3.07,38.22,73.02,0.31,163.7,14.23,,0.14,0.62,1.06,2.04,91.84,T1033
T1033TS252_1,0.22933,0.405278,0.255,0.225,0.521,0.39596,0.3749,0.5578,0.3152552,0.38787025,0.785,0.507,0.476,0.33283108,0.487,0.262953,252s,29.25,100.0,325.0,-0.39,-0.41,21.25,4.93,10.72,14.916,15.11,100.0,1.0,1.0,5.0,37.0,29.682,2.16,-0.24,2.8,56.0,5.9,2.35,0.36,32.0,0.51,0.41,0.36,1.26,0.54,67.7,3.7,35.09,64.09,0.26,191.8,20.44,59.33,0.14,47.59,1.06,1.02,96.94,T1033
T1033TS364_4,0.49521,0.51988,0.354,0.306,0.720,0.41326,0.4638,0.5678,0.3763905,0.40035543,0.845,0.552,0.565,0.76510316,0.501,0.220533,364s,31.0,100.0,235.0,,-0.23,22.75,9.79,14.22,11.493,11.925999999999998,100.0,2.0,1.0,7.0,45.0,34.633,2.08,-0.13,2.1,50.0,3.1,3.37,0.41,47.0,0.53,0.47,0.59,1.07,0.52,72.7,3.5,41.29,69.8,0.29,163.8,10.76,,0.17,71.08,3.19,5.1,84.69,T1033
T1033TS140_2,0.26854,0.465662,0.285,0.268,0.449,0.37044,0.4589,0.4920,0.3328849,0.3803218,0.791,0.458,0.503,0.43616408,0.503,0.302440,140s,31.0,100.0,235.0,,-0.23,20.75,3.25,8.73,11.616,12.309,100.0,1.0,5.0,15.0,50.0,36.119,2.32,-0.71,2.3,64.0,7.2,1.84,0.34,38.5,0.52,0.4,0.55,1.23,0.56,61.8,4.42,42.15,65.78,0.29,161.9,13.4,74.3,0.12,11.76,2.13,0.0,97.96,T1033
T1033TS031_5,0.37615,0.419321,0.309,0.258,0.608,0.40691,0.5618,0.5570,0.301762,0.41081268,0.837,0.493,0.538,0.80168796,0.511,0.243609,031s,37.5,100.0,96.0,,0.43,26.0,8.74,14.8,11.808,12.158,100.0,0.0,30.0,42.0,49.0,36.345,2.33,1.16,3.3,69.0,6.4,1.14,0.47,57.5,0.56,0.52,0.65,1.04,0.54,80.9,4.25,45.73,75.72,0.36,212.5,6.93,,0.2,0.62,2.13,0.0,96.94,T1033
T1033TS052_2,0.37911,0.483546,0.350,0.275,0.524,0.37186,0.4466,0.5250,0.3284185,0.38717118,0.760,0.508,0.509,0.6950145,0.474,0.291831,052s,30.75,100.0,253.0,,-0.26,24.25,9.09,14.41,15.03,15.725,100.0,0.0,0.0,0.0,46.0,38.467,2.15,0.81,2.2,69.0,10.4,2.68,0.35,33.5,0.52,0.41,0.46,1.26,0.49,78.1,3.89,30.59,65.8,0.31,153.5,29.91,41.29,0.14,32.8,0.0,6.12,83.67,T1033
T1033TS460_5,0.18335,0.394468,0.174,0.187,0.379,0.36305,0.4696,0.4653,0.2808691,0.36894742,0.695,0.415,0.415,0.43499726,0.449,0.184960,460s,28.25,100.0,367.0,,-0.51,21.0,3.95,7.02,13.988,14.401,100.0,0.0,0.0,0.0,45.0,30.849,2.31,-0.83,2.6,58.0,3.8,2.86,0.32,32.0,0.49,0.4,0.58,1.25,0.49,71.2,3.5,35.17,63.0,0.26,183.0,16.42,73.53,0.12,47.62,2.13,1.02,92.86,T1033
T1033TS222_4,0.45826,0.458335,0.429,0.326,0.536,0.44310,0.4411,0.5467,0.3138177,0.37280077,0.817,0.504,0.498,0.7753462,0.468,0.311725,222s,30.75,100.0,253.0,,-0.26,22.75,7.95,13.08,12.277,12.7,100.0,11.0,23.0,28.0,48.0,35.602,2.51,1.51,2.4,50.0,2.9,4.25,0.34,46.0,0.52,0.45,0.46,1.18,0.56,83.7,3.5,38.4,70.29,0.3,174.7,8.97,,0.16,185.28,11.7,7.45,81.91,T1033
T1033TS140_3,0.26109,0.4829,0.295,0.228,0.428,0.36980,0.4557,0.4879,0.320311,0.36268747,0.763,0.452,0.480,0.42525098,0.495,0.272348,140s,29.75,100.0,296.0,,-0.36,20.0,2.73,8.69,12.84,13.672,100.0,2.0,4.0,16.0,48.0,34.092,2.43,0.34,3.1,57.0,6.3,1.67,0.34,35.0,0.51,0.4,0.54,1.32,0.53,63.4,4.42,41.97,65.71,0.28,190.5,15.77,75.57,0.11,8.65,1.06,3.06,96.94,T1033
T1033TS031_2,0.36735,0.435791,0.314,0.239,0.610,0.42000,0.4820,0.4943,0.3009356,0.4099249,0.796,0.506,0.499,0.7344854,0.492,0.226248,031s,29.0,100.0,340.0,,-0.44,19.5,6.19,9.0,13.549,14.003,100.0,1.0,17.0,33.0,47.0,34.208,2.19,0.81,2.9,51.0,3.7,1.63,0.38,42.5,0.53,0.43,0.56,1.19,0.52,54.0,3.5,36.67,68.13,0.28,175.5,11.24,,0.16,2.47,1.06,3.06,88.78,T1033
T1033TS013_2,0.29473,0.45063,0.333,0.242,0.641,0.38089,0.4692,0.6241,0.3112447,0.3777615,0.805,0.510,0.534,0.61413467,0.518,0.208023,013s,26.75,100.0,429.0,,-0.66,19.0,4.54,9.55,13.166,13.571,100.0,0.0,0.0,20.0,45.0,34.589,2.32,-0.71,2.3,54.0,5.6,0.5,0.34,33.0,0.53,0.39,0.46,1.15,0.59,73.6,3.5,36.86,66.14,0.26,169.6,21.23,46.53,0.14,0.0,0.0,0.0,98.98,T1033
T1033TS031_1,0.26461,0.396333,0.352,0.226,0.422,0.41315,0.4817,0.5220,0.2674256,0.36932677,0.760,0.459,0.472,0.6803479,0.47,0.193180,031s,28.0,100.0,377.0,-0.51,-0.54,19.25,5.82,10.45,13.132,13.626,100.0,0.0,0.0,0.0,44.0,38.758,1.89,-0.01,2.3,53.0,3.8,2.53,0.36,39.5,0.49,0.39,0.35,1.24,0.54,51.0,3.29,34.16,63.92,0.29,171.5,14.47,,0.14,9.89,3.19,5.1,86.73,T1033
T1033TS052_3,0.37367,0.455342,0.403,0.276,0.580,0.39458,0.4657,0.5572,0.3330304,0.38879377,0.799,0.518,0.473,0.7320651,0.476,0.269020,052s,33.25,100.0,157.0,,-0.0,25.5,8.1,15.73,14.463,15.293,100.0,0.0,0.0,0.0,42.0,32.443000000000005,2.28,0.34,3.1,57.0,4.5,2.87,0.34,33.0,0.51,0.4,0.47,1.25,0.55,77.8,3.5,33.09,68.26,0.31,172.3,22.89,40.52,0.13,45.79,0.0,6.12,80.61,T1033
T1033TS435_1,0.43623,0.457014,0.394,0.307,0.607,0.44520,0.4666,0.4826,0.3238684,0.38361555,0.819,0.527,0.525,0.82066846,0.517,0.288303,435s,29.25,100.0,325.0,-0.39,-0.41,21.75,6.25,11.75,13.207,13.675999999999998,100.0,0.0,0.0,0.0,47.0,35.225,2.38,-0.71,2.0,50.0,2.8,1.84,0.35,38.5,0.53,0.41,0.46,1.08,0.55,57.3,3.5,33.87,69.23,0.28,159.4,22.12,42.77,0.13,1.86,6.38,2.04,95.92,T1033
T1033TS324_2,0.38637,0.44311,0.307,0.287,0.562,0.43419,0.4529,0.4938,0.2970654,0.37843806,0.808,0.544,0.513,0.80280894,0.519,0.235510,324s,29.5,100.0,312.0,,-0.38,21.0,7.21,12.03,15.056,15.859000000000002,100.0,0.0,0.0,0.0,44.0,34.549,2.08,-0.13,2.0,50.0,3.0,1.86,0.35,39.0,0.54,0.43,0.41,1.23,0.51,68.8,3.5,34.2,70.46,0.28,159.9,23.67,67.42,0.15,4.94,2.13,0.0,94.9,T1033
T1033TS151_4,0.23388,0.332313,0.210,0.205,,0.36060,0.4848,0.4140,,0.349158,0.667,0.437,0.413,0.61254144,0.428,0.238372,151s,33.25,100.0,157.0,,-0.0,20.0,5.8,9.56,8.376,9.009,100.0,18.0,6.0,33.0,56.0,35.52,2.43,1.74,0.0,0.0,,3.42,0.38,45.5,0.47,0.47,0.79,0.82,0.67,43.8,3.89,46.64,64.31,0.35,,6.41,,0.14,55.25,3.19,5.1,72.45,T1033
T1033TS209_1,0.41600,0.563844,0.334,0.288,0.684,0.42216,0.7405,0.7239,0.4136126,0.48082107,0.887,0.567,0.556,0.8416212,0.541,0.263190,209s,46.25,100.0,38.0,1.25,1.31,32.5,10.89,20.39,10.369000000000002,10.873,100.0,0.0,41.0,49.0,49.0,44.719,2.17,1.86,5.1,75.0,5.7,1.03,0.51,63.0,0.6,0.56,0.72,0.93,0.61,68.5,4.58,55.53,79.41,0.44,283.2,5.78,65.99,0.24,2.47,0.0,0.0,98.98,T1033
T1033TS278_3,0.52348,0.587972,0.368,0.332,0.697,0.36956,0.5719,0.6261,0.4022218,0.4217202,0.921,0.582,0.588,0.62423885,0.551,0.290173,278s,29.75,100.0,296.0,,-0.36,20.0,8.36,11.92,11.482,11.893,100.0,0.0,19.0,31.0,38.0,30.704,2.28,-0.01,0.0,0.0,,0.51,0.45,54.5,0.57,0.48,0.56,1.13,0.55,68.6,3.07,39.41,72.03,0.28,,8.09,40.13,0.23,0.0,0.0,0.0,97.96,T1033
T1033TS252_4,0.29207,0.417955,0.325,0.237,0.562,0.38153,0.3824,0.5044,0.3064955,0.3809132,0.771,0.522,0.474,0.39841682,0.477,0.257800,252s,29.5,100.0,312.0,,-0.38,21.75,7.16,11.55,13.852,14.251,100.0,0.0,0.0,3.0,42.0,30.728,2.43,0.11,3.1,61.0,5.3,2.98,0.38,35.5,0.5,0.44,0.48,1.25,0.54,64.7,3.5,35.33,66.09,0.29,204.1,18.16,61.25,0.14,47.59,2.13,1.02,88.78,T1033
T1033TS317_4,0.46550,0.485986,0.397,0.285,0.718,0.36300,0.4556,0.5724,0.3483783,0.37968907,0.841,0.515,0.533,0.5508401,0.493,0.268784,317s,29.0,100.0,340.0,,-0.44,20.5,5.51,9.7,13.126,13.839,100.0,1.0,0.0,2.0,48.0,38.642,2.24,-0.48,0.0,0.0,,3.0,0.39,41.5,0.52,0.4,0.5,1.22,0.53,76.5,3.29,38.02,68.67,0.26,,11.53,44.09,0.1,14.83,9.57,3.06,88.78,T1033
T1033TS326_1,0.55519,0.489125,0.376,0.289,0.649,0.46721,0.4540,0.6121,0.3543687,0.40989548,0.874,0.578,0.556,0.79592276,0.528,0.269550,326s,30.75,100.0,253.0,-0.25,-0.26,22.5,8.86,13.88,14.1,14.380999999999998,100.0,0.0,0.0,0.0,43.0,32.592,2.22,0.92,3.0,56.0,3.5,2.4,0.4,44.0,0.56,0.46,0.5,1.03,0.54,57.5,3.07,37.58,70.46,0.31,182.7,12.38,,0.16,24.72,1.06,7.14,91.84,T1033
T1033TS277_5,0.53368,0.492301,0.363,0.297,0.650,0.44586,0.4458,0.5708,0.3694106,0.42151985,0.864,0.518,0.536,0.7844545,0.508,0.287974,277s,35.5,100.0,108.0,,0.22,26.5,11.22,19.34,12.736,13.173,100.0,1.0,0.0,0.0,41.0,35.023,1.79,1.16,3.2,57.0,5.1,2.93,0.39,44.5,0.54,0.46,0.54,1.2,0.53,65.9,3.29,40.04,71.05,0.36,168.8,10.28,,0.16,44.55,2.13,5.1,89.8,T1033
T1033TS326_3,0.52269,0.475817,0.360,0.317,0.632,0.45658,0.4550,0.5580,0.3544838,0.40719095,0.871,0.547,0.552,0.78437656,0.523,0.305430,326s,34.0,100.0,136.0,,0.07,25.75,8.57,16.51,13.197,13.635,100.0,4.0,0.0,0.0,44.0,34.959,2.39,1.51,3.0,55.0,4.5,2.7,0.38,43.5,0.56,0.45,0.52,1.14,0.53,67.9,3.29,38.78,71.43,0.34,197.2,10.93,,0.15,29.72,2.13,1.02,91.84,T1033
T1033TS170_4,0.32968,0.491991,0.349,0.250,0.617,0.37128,0.6022,0.5933,0.3511597,0.45377913,0.815,0.511,0.502,0.6514598,0.493,0.215087,170s,41.5,100.0,77.0,,0.83,29.0,8.92,18.12,11.619000000000002,12.44,100.0,0.0,32.0,48.0,48.0,41.12600000000001,2.22,1.04,3.8,68.0,5.0,0.52,0.44,55.0,0.56,0.49,0.72,0.8,0.57,76.4,4.42,49.12,71.45,0.41,228.7,8.49,,0.19,0.0,1.06,0.0,100.0,T1033
T1033TS326_2,0.53102,0.538019,0.349,0.307,0.673,0.45396,0.4557,0.6175,0.4112613,0.40499955,0.866,0.542,0.534,0.786709,0.516,0.296346,326s,35.0,100.0,117.0,,0.17,26.5,8.28,17.41,13.122,13.574000000000002,100.0,2.0,32.0,32.0,47.0,42.063,1.74,1.63,2.6,55.0,4.8,2.83,0.37,43.5,0.55,0.45,0.52,1.16,0.53,64.4,3.29,39.28,70.8,0.35,180.7,10.76,,0.14,40.82,2.13,2.04,91.84,T1033
T1033TS337_2,0.27505,0.41595,0.242,0.206,0.444,0.34465,0.4185,0.4913,0.2756028,0.3522604,0.753,0.465,0.453,0.3997592,0.459,0.146547,337s,25.25,100.0,483.0,,-0.82,19.25,2.84,7.68,17.759,17.971,100.0,0.0,0.0,0.0,44.0,40.44300000000001,1.76,-0.36,3.8,56.0,7.6,2.91,0.32,28.5,0.49,0.38,0.4,1.51,0.5,57.5,3.7,26.75,63.7,0.23,183.6,21.81,80.03,0.09,82.2,2.13,1.02,95.92,T1033
T1033TS097_5,0.42760,0.422756,0.340,0.257,0.474,0.41005,0.4248,0.5497,0.2820826,0.37267166,0.745,0.491,0.458,0.6288827,0.479,0.298623,097s,26.75,100.0,429.0,,-0.66,20.0,7.68,12.28,13.645,14.273,100.0,0.0,0.0,0.0,45.0,39.406,1.97,-0.94,2.0,48.0,2.7,3.12,0.31,35.0,0.52,0.4,0.45,1.32,0.49,62.3,3.7,30.93,66.72,0.26,151.3,21.52,57.57,0.14,112.28,0.0,5.1,87.76,T1033
T1033TS013_4,0.30889,0.423045,0.318,0.246,0.586,0.38440,0.4653,0.4994,0.2752338,0.36685467,0.796,0.506,0.508,0.59091645,0.503,0.236101,013s,27.75,100.0,385.0,,-0.56,19.75,6.89,10.37,13.163,13.589,100.0,0.0,0.0,20.0,44.0,33.397,2.14,0.34,2.5,49.0,3.8,0.7,0.34,31.5,0.53,0.39,0.47,1.2,0.59,68.1,3.5,37.4,65.96,0.27,152.2,22.02,44.6,0.15,0.62,0.0,0.0,98.98,T1033
T1033TS278_4,0.27697,0.5217,0.287,0.265,0.598,0.38750,0.5901,0.5904,0.3575072,0.41715136,0.893,0.582,0.575,0.68708813,0.549,0.305356,278s,42.0,100.0,71.0,,0.88,29.5,13.38,21.34,9.364,10.053,100.0,0.0,1.0,2.0,50.0,43.923,2.33,1.51,5.3,77.0,5.6,0.7,0.51,66.5,0.6,0.57,0.74,0.69,0.65,73.4,4.58,49.5,79.58,0.42,253.3,5.46,53.29,0.24,0.62,0.0,0.0,100.0,T1033
T1033TS238_4,0.31976,0.470689,0.395,0.245,0.495,0.38862,0.4358,0.4963,0.3652362,0.39141402,0.762,0.473,0.486,0.37635118,0.523,0.266191,238s,31.0,100.0,235.0,,-0.23,23.0,4.24,9.5,24.698,25.335,100.0,0.0,0.0,0.0,37.0,32.211,2.2,0.34,0.0,0.0,,1.44,0.36,45.5,0.57,0.49,0.47,1.22,0.56,46.4,3.07,36.5,71.49,0.27,,72.78,73.88,0.19,8.04,0.0,0.0,100.0,T1033
T1033TS222_1,0.52060,0.514534,0.401,0.298,0.594,0.47349,0.4593,0.6057,0.3916309,0.41547155,0.854,0.562,0.533,0.79409,0.534,0.299436,222s,31.25,100.0,220.0,-0.2,-0.21,22.75,7.5,11.16,13.864,14.15,100.0,2.0,0.0,0.0,46.0,34.494,2.4,0.22,2.8,58.0,4.2,2.4,0.4,45.0,0.55,0.45,0.51,1.04,0.53,55.7,3.29,37.73,70.99,0.3,191.1,12.81,,0.14,35.23,1.06,2.04,94.9,T1033
T1033TS075_2,0.25368,0.420749,0.256,0.202,0.478,0.39426,0.3709,0.5974,0.3238669,0.38431913,0.764,0.536,0.491,0.3312726,0.489,0.231596,075s,29.0,100.0,340.0,,-0.44,21.0,5.3,10.42,15.140999999999998,15.27,100.0,1.0,1.0,8.0,39.0,32.239000000000004,2.25,-0.36,2.7,56.0,5.8,2.58,0.36,32.0,0.51,0.4,0.37,1.25,0.54,53.7,3.7,34.95,63.62,0.26,187.4,21.74,57.76,0.14,67.37,0.0,1.02,95.92,T1033
T1033TS209_4,0.43159,0.588312,0.318,0.280,0.676,0.42206,0.7331,0.6676,0.4280728,0.47642145,0.885,0.577,0.564,0.84529144,0.543,0.262321,209s,46.75,100.0,35.0,,1.36,33.0,11.39,20.45,10.414,10.839,100.0,1.0,41.0,47.0,47.0,44.428,2.14,1.27,3.9,68.0,4.9,0.96,0.52,63.5,0.6,0.56,0.71,0.93,0.61,68.5,4.74,55.43,79.86,0.44,233.2,5.61,66.82,0.24,1.85,0.0,0.0,97.96,T1033
T1033TS377_2,0.43298,0.478357,0.340,0.307,0.602,0.38280,0.4413,0.4724,0.350544,0.39588523,0.811,0.496,0.504,0.48519045,0.511,0.321446,377s,26.0,100.0,455.0,,-0.74,19.0,3.85,6.91,17.956,18.47,100.0,2.0,0.0,0.0,41.0,39.335,1.77,0.46,3.0,48.0,8.1,2.33,0.33,31.5,0.53,0.4,0.44,1.38,0.45,66.2,4.07,27.67,66.65,0.23,141.5,24.22,85.91,0.13,21.03,1.06,3.06,91.84,T1033
T1033TS238_5,0.32235,0.460389,0.348,0.235,0.289,0.38792,0.4407,0.4758,0.3318384,0.3657846,,0.469,0.468,0.36372444,,0.241197,238s,31.25,100.0,220.0,,-0.21,23.75,4.43,9.36,23.862,24.437,100.0,0.0,0.0,0.0,42.0,33.354,2.09,0.57,0.0,0.0,,2.15,0.35,44.0,0.55,0.48,0.46,1.2,0.56,46.7,3.07,36.22,70.51,0.27,,68.92,73.09,0.17,46.97,0.0,0.0,100.0,T1033
T1033TS319_4,0.25451,0.401096,0.282,0.257,0.421,0.36154,0.4334,0.4528,0.2601562,0.36349574,0.791,0.493,0.493,0.39386633,0.484,0.342606,319s,27.75,100.0,385.0,,-0.56,21.0,3.52,8.27,16.426,16.898,100.0,1.0,2.0,23.0,50.0,37.031,2.04,-1.29,2.3,48.0,2.8,3.0,0.35,40.5,0.5,0.39,0.41,1.36,0.52,69.8,3.29,32.32,62.64,0.26,153.6,13.15,75.57,0.14,61.8,3.19,1.02,94.9,T1033
T1033TS437_2,0.29030,0.472518,0.289,0.266,0.432,0.38898,0.5423,0.4700,0.3348635,0.41216716,0.772,0.472,0.504,0.5218328,0.48,0.282825,437s,35.25,100.0,114.0,,0.2,23.5,4.84,12.45,10.796,11.655,100.0,0.0,18.0,42.0,46.0,41.224,2.3,1.39,3.5,65.0,4.4,3.12,0.45,51.5,0.54,0.5,0.74,0.83,0.58,63.7,4.07,52.8,72.63,0.35,218.4,8.36,,0.17,89.62,2.13,0.0,92.86,T1033
T1033TS052_4,0.41091,0.502121,0.433,0.269,0.565,0.38624,0.4440,0.5657,0.3368752,0.37141886,0.762,0.497,0.508,0.7674648,0.465,0.267831,052s,29.75,100.0,296.0,,-0.36,23.0,8.2,13.79,14.982,15.451,100.0,0.0,0.0,0.0,44.0,32.492,2.08,0.22,2.6,58.0,3.9,2.89,0.34,36.0,0.53,0.41,0.45,1.12,0.55,72.4,3.7,31.92,67.31,0.3,181.4,32.35,40.12,0.14,50.09,1.06,9.18,82.65,T1033
T1033TS487_1,0.41563,0.505088,0.404,0.295,0.700,0.38297,0.4677,0.5803,0.397952,0.43122005,0.865,0.535,0.526,0.53088224,0.516,0.250101,487s,29.25,100.0,325.0,-0.39,-0.41,21.5,5.59,10.77,15.321,15.838,100.0,0.0,22.0,26.0,47.0,37.515,2.26,1.16,3.3,61.0,4.4,1.05,0.39,35.0,0.53,0.41,0.52,1.25,0.48,62.0,2.83,35.49,67.98,0.26,209.3,14.58,62.25,0.14,2.47,1.06,0.0,98.98,T1033
T1033TS050_2,0.23087,0.448259,0.277,0.243,0.579,0.38941,0.6184,0.5839,0.3082836,0.44731122,0.793,0.512,0.488,0.6544061,0.458,0.231246,050s,39.75,100.0,83.0,,0.65,26.0,4.66,13.38,10.008,10.964,100.0,0.0,0.0,0.0,44.0,36.116,2.09,-0.48,3.7,73.0,5.7,2.84,0.43,45.0,0.49,0.45,0.76,1.04,0.56,65.8,4.58,49.4,70.18,0.38,226.4,7.14,72.75,0.12,69.84,2.13,1.02,95.92,T1033
T1033TS460_1,0.21469,0.391802,0.250,0.190,0.465,0.37230,0.4359,0.4895,0.2586821,0.35366902,0.746,0.460,0.454,0.40484113,0.484,0.189171,460s,26.25,100.0,450.0,-0.68,-0.71,19.25,4.43,7.32,17.512999999999998,18.046,100.0,0.0,0.0,0.0,42.0,33.884,2.24,-0.59,2.7,54.0,5.4,2.46,0.31,30.0,0.51,0.39,0.47,1.46,0.47,50.3,3.89,30.76,66.18,0.23,188.4,21.5,74.44,0.11,37.72,0.0,1.02,93.88,T1033
T1033TS377_5,0.32360,0.460364,0.315,0.280,0.629,0.37763,0.4306,0.4916,0.3460088,0.379786,0.802,0.506,0.508,0.4447996,0.501,0.283353,377s,25.5,100.0,476.0,,-0.79,18.0,3.27,6.72,17.855,18.39,100.0,3.0,0.0,0.0,38.0,28.552,2.31,0.81,3.2,52.0,6.3,2.37,0.32,31.0,0.51,0.39,0.44,1.42,0.44,53.9,3.7,27.49,65.38,0.23,172.5,23.76,85.92,0.1,16.08,2.13,4.08,93.88,T1033
T1033TS209_3,0.43102,0.589353,0.334,0.281,0.728,0.42305,0.7383,0.6714,0.4243502,0.4845994,0.892,0.566,0.552,0.8408093,0.545,0.260074,209s,46.25,100.0,38.0,,1.31,32.5,10.91,20.2,10.401,10.887,100.0,0.0,39.0,50.0,50.0,44.603,2.42,1.16,5.2,75.0,5.4,0.95,0.51,62.0,0.6,0.56,0.72,0.93,0.61,65.7,4.58,55.49,79.56,0.44,285.4,5.67,65.79,0.24,1.85,0.0,0.0,100.0,T1033
T1033TS326_4,0.41913,0.509053,0.438,0.297,0.646,0.47270,0.4819,0.4879,0.3988949,0.4297418,0.830,0.544,0.531,0.7690712,0.523,0.280932,326s,31.5,100.0,214.0,,-0.18,23.25,5.13,9.65,13.805,14.215,100.0,4.0,0.0,0.0,40.0,32.364000000000004,2.19,-0.36,2.2,51.0,3.1,2.5,0.4,47.0,0.55,0.47,0.53,1.03,0.53,68.6,3.07,37.61,71.35,0.29,167.8,14.57,,0.17,30.3,2.13,2.04,95.92,T1033
T1033TS183_3,0.43461,0.498682,0.364,0.294,0.587,0.46525,0.4851,0.5690,0.3599145,0.41080132,0.811,0.525,0.546,0.75140756,0.516,0.291559,183s,32.25,100.0,190.0,,-0.11,23.5,5.01,9.41,14.347,14.83,100.0,2.0,0.0,0.0,40.0,34.332,2.28,0.57,2.1,54.0,3.4,1.84,0.38,45.5,0.55,0.47,0.52,1.06,0.56,66.8,3.29,38.28,71.47,0.29,164.1,15.23,72.59,0.17,21.69,0.0,1.02,97.96,T1033
T1033TS187_4,0.26067,0.446477,0.269,0.220,0.555,0.37131,0.3704,0.4957,0.3056095,0.36826167,0.757,0.492,0.471,0.39245915,0.466,0.210263,187s,30.5,100.0,273.0,,-0.28,22.0,4.39,8.85,15.529000000000002,15.727,100.0,1.0,1.0,24.0,46.0,33.641,2.3,-0.48,3.0,51.0,5.8,3.43,0.36,35.0,0.49,0.4,0.28,1.29,0.52,69.1,3.5,37.71,64.59,0.29,163.2,18.66,64.88,0.1,84.67,4.26,3.06,89.8,T1033
T1033TS487_4,0.46804,0.467829,0.491,0.339,0.625,0.41614,0.4937,0.5768,0.3534963,0.42399913,0.864,0.518,0.532,0.56694764,0.528,0.287346,487s,28.0,100.0,377.0,,-0.54,20.0,5.47,10.71,15.844,16.381,100.0,0.0,1.0,23.0,44.0,36.715,2.12,0.11,2.6,58.0,5.2,1.66,0.38,36.5,0.53,0.4,0.46,1.36,0.48,58.0,3.5,34.96,67.78,0.25,183.8,16.99,41.0,0.15,7.42,2.13,0.0,98.98,T1033
T1033TS238_2,0.26284,0.437827,0.288,0.230,0.359,0.35700,0.4374,0.4540,0.3246499,0.35807857,0.742,0.459,0.483,0.348404,0.506,0.235314,238s,30.75,100.0,253.0,,-0.26,22.75,3.54,10.15,27.062,27.965,100.0,0.0,1.0,18.0,34.0,30.027,1.91,0.46,0.0,0.0,,0.84,0.34,43.0,0.55,0.49,0.54,1.63,0.54,44.8,3.7,35.29,71.85,0.28,,93.93,72.19,0.17,1.24,0.0,0.0,100.0,T1033
T1033TS487_2,0.57552,0.549701,0.418,0.348,0.813,0.40463,0.4551,0.5352,0.3960576,0.42812806,0.879,0.550,0.545,0.6811003,0.513,0.301200,487s,33.5,100.0,149.0,,0.02,25.0,6.58,15.32,13.649,14.254,100.0,0.0,0.0,0.0,40.0,31.802,2.17,-0.01,2.2,51.0,3.4,1.1,0.4,41.0,0.55,0.44,0.55,0.96,0.58,54.8,3.29,37.44,70.15,0.32,167.0,13.56,64.24,0.17,3.09,0.0,0.0,98.98,T1033
T1033TS364_5,0.47640,0.449112,0.398,0.312,0.693,0.40888,0.4772,0.5718,0.3154553,0.4069399,0.834,0.523,0.560,0.77167904,0.496,0.238638,364s,31.0,100.0,235.0,,-0.23,22.25,5.76,9.65,12.473,13.089,100.0,4.0,1.0,6.0,44.0,34.371,2.18,-0.24,0.0,0.0,,3.71,0.4,44.5,0.52,0.45,0.56,1.09,0.52,78.1,3.5,39.69,70.13,0.29,,15.16,,0.13,79.11,7.45,5.1,83.67,T1033
T1033TS042_2,0.40685,0.494153,0.357,0.297,0.699,0.41914,0.4953,0.5068,0.3646673,0.40336618,0.831,0.561,0.540,0.73859555,0.515,0.276629,042s,32.75,100.0,169.0,,-0.06,23.25,10.19,15.34,10.914,11.518,100.0,0.0,23.0,39.0,39.0,36.431,1.75,-0.59,0.0,0.0,,1.42,0.4,42.0,0.54,0.42,0.63,1.1,0.55,63.1,3.5,43.98,69.19,0.35,,9.8,73.96,0.14,1.85,1.06,2.04,92.86,T1033
T1033TS013_1,0.40085,0.484372,0.334,0.274,0.602,0.39872,0.4822,0.5714,0.3340809,0.3921991,0.825,0.520,0.545,0.76333964,0.53,0.226522,013s,28.25,100.0,367.0,-0.49,-0.51,21.0,9.21,13.38,13.032,13.372,100.0,0.0,0.0,2.0,43.0,33.681999999999995,2.39,-0.48,2.3,54.0,4.6,0.5,0.36,39.0,0.54,0.41,0.47,1.1,0.6,72.4,4.07,40.59,69.84,0.29,170.2,21.1,46.28,0.14,0.0,0.0,0.0,100.0,T1033
